INFO: [2023-11-24 22:32:50] genewalk.deepwalk - Walks for 18100/43209 nodes complete in 110.08s
INFO: [2023-11-24 22:32:50] genewalk.deepwalk - Walks for 18200/43209 nodes complete in 110.37s
INFO: [2023-11-24 22:32:50] genewalk.deepwalk - Walks for 18300/43209 nodes complete in 110.54s
INFO: [2023-11-24 22:32:50] genewalk.deepwalk - Walks for 18400/43209 nodes complete in 110.78s
INFO: [2023-11-24 22:32:51] genewalk.deepwalk - Walks for 18500/43209 nodes complete in 111.07s
INFO: [2023-11-24 22:32:51] genewalk.deepwalk - Walks for 18600/43209 nodes complete in 111.24s
INFO: [2023-11-24 22:32:51] genewalk.deepwalk - Walks for 18700/43209 nodes complete in 111.38s
INFO: [2023-11-24 22:32:51] genewalk.deepwalk - Walks for 18800/43209 nodes complete in 111.51s
INFO: [2023-11-24 22:32:51] genewalk.deepwalk - Walks for 18900/43209 nodes complete in 111.85s
INFO: [2023-11-24 22:32:52] genewalk.deepwalk - Walks for 19000/43209 nodes complete in 112.15s
INFO: [2023-11-24 22:32:52] genewalk.deepwalk - Walks for 19100/43209 nodes complete in 112.45s
INFO: [2023-11-24 22:32:52] genewalk.deepwalk - Walks for 19200/43209 nodes complete in 112.69s
INFO: [2023-11-24 22:32:52] genewalk.deepwalk - Walks for 19300/43209 nodes complete in 112.85s
INFO: [2023-11-24 22:32:53] genewalk.deepwalk - Walks for 19400/43209 nodes complete in 113.20s
INFO: [2023-11-24 22:32:53] genewalk.deepwalk - Walks for 19500/43209 nodes complete in 113.41s
INFO: [2023-11-24 22:32:53] genewalk.deepwalk - Walks for 19600/43209 nodes complete in 113.54s
INFO: [2023-11-24 22:32:53] genewalk.deepwalk - Walks for 19700/43209 nodes complete in 113.74s
INFO: [2023-11-24 22:32:53] genewalk.deepwalk - Walks for 19800/43209 nodes complete in 114.02s
INFO: [2023-11-24 22:32:54] genewalk.deepwalk - Walks for 19900/43209 nodes complete in 114.25s
INFO: [2023-11-24 22:32:54] genewalk.deepwalk - Walks for 20000/43209 nodes complete in 114.50s
INFO: [2023-11-24 22:32:54] genewalk.deepwalk - Walks for 20100/43209 nodes complete in 114.78s
INFO: [2023-11-24 22:32:54] genewalk.deepwalk - Walks for 20200/43209 nodes complete in 115.01s
INFO: [2023-11-24 22:32:55] genewalk.deepwalk - Walks for 20300/43209 nodes complete in 115.26s
INFO: [2023-11-24 22:32:55] genewalk.deepwalk - Walks for 20400/43209 nodes complete in 115.54s
INFO: [2023-11-24 22:32:55] genewalk.deepwalk - Walks for 20500/43209 nodes complete in 115.84s
INFO: [2023-11-24 22:32:56] genewalk.deepwalk - Walks for 20600/43209 nodes complete in 116.24s
INFO: [2023-11-24 22:32:56] genewalk.deepwalk - Walks for 20700/43209 nodes complete in 116.50s
INFO: [2023-11-24 22:32:56] genewalk.deepwalk - Walks for 20800/43209 nodes complete in 116.77s
INFO: [2023-11-24 22:32:56] genewalk.deepwalk - Walks for 20900/43209 nodes complete in 117.02s
INFO: [2023-11-24 22:32:57] genewalk.deepwalk - Walks for 21000/43209 nodes complete in 117.22s
INFO: [2023-11-24 22:32:57] genewalk.deepwalk - Walks for 21100/43209 nodes complete in 117.45s
INFO: [2023-11-24 22:32:57] genewalk.deepwalk - Walks for 21200/43209 nodes complete in 117.63s
INFO: [2023-11-24 22:32:57] genewalk.deepwalk - Walks for 21300/43209 nodes complete in 117.91s
INFO: [2023-11-24 22:32:58] genewalk.deepwalk - Walks for 21400/43209 nodes complete in 118.09s
INFO: [2023-11-24 22:32:58] genewalk.deepwalk - Walks for 21500/43209 nodes complete in 118.37s
INFO: [2023-11-24 22:32:58] genewalk.deepwalk - Walks for 21600/43209 nodes complete in 118.65s
INFO: [2023-11-24 22:32:58] genewalk.deepwalk - Walks for 21700/43209 nodes complete in 119.01s
INFO: [2023-11-24 22:32:59] genewalk.deepwalk - Walks for 21800/43209 nodes complete in 119.28s
INFO: [2023-11-24 22:32:59] genewalk.deepwalk - Walks for 21900/43209 nodes complete in 119.51s
INFO: [2023-11-24 22:32:59] genewalk.deepwalk - Walks for 22000/43209 nodes complete in 119.79s
INFO: [2023-11-24 22:33:00] genewalk.deepwalk - Walks for 22100/43209 nodes complete in 120.05s
INFO: [2023-11-24 22:33:00] genewalk.deepwalk - Walks for 22200/43209 nodes complete in 120.30s
INFO: [2023-11-24 22:33:00] genewalk.deepwalk - Walks for 22300/43209 nodes complete in 120.64s
INFO: [2023-11-24 22:33:00] genewalk.deepwalk - Walks for 22400/43209 nodes complete in 120.97s
INFO: [2023-11-24 22:33:01] genewalk.deepwalk - Walks for 22500/43209 nodes complete in 121.20s
INFO: [2023-11-24 22:33:01] genewalk.deepwalk - Walks for 22600/43209 nodes complete in 121.34s
INFO: [2023-11-24 22:33:01] genewalk.deepwalk - Walks for 22700/43209 nodes complete in 121.56s
INFO: [2023-11-24 22:33:01] genewalk.deepwalk - Walks for 22800/43209 nodes complete in 121.79s
INFO: [2023-11-24 22:33:01] genewalk.deepwalk - Walks for 22900/43209 nodes complete in 121.97s
INFO: [2023-11-24 22:33:02] genewalk.deepwalk - Walks for 23000/43209 nodes complete in 122.19s
INFO: [2023-11-24 22:33:02] genewalk.deepwalk - Walks for 23100/43209 nodes complete in 122.39s
INFO: [2023-11-24 22:33:02] genewalk.deepwalk - Walks for 23200/43209 nodes complete in 122.59s
